latitude,longitude,value,,,,,,,
24.45833333,122.9583333,2972544.505,,,,,,,
24.375,123.7916667,1089257.35,,,,,,,
24.375,123.875,497494.2068,,,,,,,
24.45833333,124.125,1346343.473,,,,,,,
24.375,124.2083333,1231387955,,,,,,,
24.54166667,124.2916667,3313058.922,,,,,,,
24.79166667,125.2916667,423059451.8,,,,,,,
26.375,126.7083333,2107021.697,,,,,,,
26.375,126.7916667,0,,,,,,,
26.20833333,127.7083333,98218227371,,,,,,,
26.125,127.7083333,22925779148,,,,,,,
26.70833333,127.7916667,382557121.5,,,,,,,
26.375,127.7916667,59148803833,,,,,,,
26.29166667,127.7916667,18663419266,,,,,,,
26.45833333,127.875,1356765765,,,,,,,
26.625,127.9583333,4172619933,,,,,,,
26.54166667,127.9583333,880547470.7,,,,,,,
26.625,128.0416667,560919824.7,,,,,,,
26.54166667,128.0416667,5697973329,,,,,,,
26.70833333,128.125,1710775.822,,,,,,,
26.625,128.125,5621705.442,,,,,,,
26.70833333,128.2083333,4882858.076,,,,,,,
26.79166667,128.2916667,1209706.308,,,,,,,
26.70833333,128.2916667,0,,,,,,,
27.375,128.5416667,45810644.28,,,,,,,
32.625,128.625,6831707.501,,,,,,,
32.70833333,128.7083333,7862287.903,,,,,,,
32.625,128.7083333,7869630.201,,,,,,,
32.79166667,128.7916667,0,,,,,,,
32.70833333,128.7916667,15724575.81,,,,,,,
27.875,128.9583333,54.65998636,,,,,,,
27.79166667,128.9583333,7271716.725,,,,,,,
27.70833333,128.9583333,9880695.927,,,,,,,
32.95833333,129.0416667,8274129.819,,,,,,,
32.875,129.0416667,8252131.836,,,,,,,
32.95833333,129.125,8303846.538,,,,,,,
34.29166667,129.2083333,123401.4727,,,,,,,
34.20833333,129.2083333,3873363.77,,,,,,,
34.125,129.2083333,3877193.342,,,,,,,
34.45833333,129.2916667,3861826.969,,,,,,,
34.375,129.2916667,3767051.199,,,,,,,
34.29166667,129.2916667,1289783.469,,,,,,,
34.20833333,129.2916667,101496698.3,,,,,,,
28.29166667,129.2916667,3408926.242,,,,,,,
28.20833333,129.2916667,3565201.724,,,,,,,
34.625,129.375,3842819.244,,,,,,,
34.54166667,129.375,3857964.946,,,,,,,
34.45833333,129.375,693893.4172,,,,,,,
34.375,129.375,62238.71207,,,,,,,
28.29166667,129.375,10361201.67,,,,,,,
28.20833333,129.375,12548925.66,,,,,,,
34.625,129.4583333,2424553.228,,,,,,,
34.54166667,129.4583333,0,,,,,,,
33.29166667,129.4583333,11985306.92,,,,,,,
28.375,129.4583333,39628701.85,,,,,,,
28.29166667,129.4583333,13203766.13,,,,,,,
33.375,129.5416667,1534082.007,,,,,,,
28.375,129.5416667,19009008.08,,,,,,,
33.29166667,129.625,149945361.3,,,,,,,
33.20833333,129.625,497503878.8,,,,,,,
33.79166667,129.7083333,50916780.74,,,,,,,
33.70833333,129.7083333,2841961.166,,,,,,,
33.29166667,129.7083333,47380947.32,,,,,,,
33.20833333,129.7083333,2501476369,,,,,,,
33.125,129.7083333,2965995076,,,,,,,
33.04166667,129.7083333,8488615.907,,,,,,,
32.95833333,129.7083333,10547384.74,,,,,,,
32.875,129.7083333,90204590.84,,,,,,,
31.70833333,129.7083333,12311970.74,,,,,,,
33.45833333,129.7916667,20538534.34,,,,,,,
33.29166667,129.7916667,66069477.43,,,,,,,
33.20833333,129.7916667,573975034.9,,,,,,,
33.125,129.7916667,5107869264,,,,,,,
32.95833333,129.7916667,5068433.717,,,,,,,
32.875,129.7916667,206406151.5,,,,,,,
32.79166667,129.7916667,1631157420,,,,,,,
32.625,129.7916667,180916699.5,,,,,,,
33.45833333,129.875,37978073.69,,,,,,,
33.375,129.875,56986808,,,,,,,
33.29166667,129.875,855620906.6,,,,,,,
33.20833333,129.875,156338850.9,,,,,,,
33.125,129.875,137045078,,,,,,,
32.79166667,129.875,22539548532,,,,,,,
32.70833333,129.875,4247575755,,,,,,,
29.875,129.875,0,,,,,,,
33.45833333,129.9583333,468818933.1,,,,,,,
33.375,129.9583333,87900218.48,,,,,,,
33.29166667,129.9583333,57041386.69,,,,,,,
33.20833333,129.9583333,66096649.36,,,,,,,
33.125,129.9583333,87552187.41,,,,,,,
33.04166667,129.9583333,682495775.6,,,,,,,
32.95833333,129.9583333,4069700566,,,,,,,
32.79166667,129.9583333,11441248123,,,,,,,
28.29166667,129.9583333,7350846.449,,,,,,,
33.45833333,130.0416667,3289404211,,,,,,,
33.375,130.0416667,109875284.9,,,,,,,
33.29166667,130.0416667,131680187.5,,,,,,,
33.20833333,130.0416667,3437026135,,,,,,,
33.125,130.0416667,138848519.6,,,,,,,
33.04166667,130.0416667,23137606.4,,,,,,,
32.95833333,130.0416667,181426487.7,,,,,,,
32.875,130.0416667,3065366489,,,,,,,
32.79166667,130.0416667,713545915.4,,,,,,,
32.45833333,130.0416667,21082879.25,,,,,,,
32.375,130.0416667,11040376.04,,,,,,,
32.29166667,130.0416667,7601501.203,,,,,,,
32.20833333,130.0416667,836380104,,,,,,,
33.54166667,130.125,66449459.64,,,,,,,
33.45833333,130.125,49486645.73,,,,,,,
33.375,130.125,82012974.55,,,,,,,
33.29166667,130.125,1501941441,,,,,,,
33.20833333,130.125,355642236.7,,,,,,,
33.125,130.125,307612337.4,,,,,,,
33.04166667,130.125,22499824.79,,,,,,,
32.95833333,130.125,12270018.63,,,,,,,
32.79166667,130.125,77308107.32,,,,,,,
32.54166667,130.125,0,,,,,,,
32.45833333,130.125,22060344.23,,,,,,,
32.375,130.125,11040376.04,,,,,,,
32.29166667,130.125,3004532.533,,,,,,,
32.20833333,130.125,3388734.332,,,,,,,
33.625,130.2083333,1797365432,,,,,,,
33.54166667,130.2083333,5402212466,,,,,,,
33.45833333,130.2083333,45892091.63,,,,,,,
33.375,130.2083333,94654660.74,,,,,,,
33.29166667,130.2083333,5895826112,,,,,,,
33.20833333,130.2083333,5296252998,,,,,,,
32.95833333,130.2083333,23775.65025,,,,,,,
32.79166667,130.2083333,664960334.4,,,,,,,
32.70833333,130.2083333,38033335.63,,,,,,,
32.625,130.2083333,24649654.87,,,,,,,
32.04166667,130.2083333,380330415.6,,,,,,,
31.875,130.2083333,1379547170,,,,,,,
31.79166667,130.2083333,25105354.1,,,,,,,
31.375,130.2083333,11820599.66,,,,,,,
31.29166667,130.2083333,23509505.25,,,,,,,
30.45833333,130.2083333,491688.155,,,,,,,
33.54166667,130.2916667,19717072307,,,,,,,
33.45833333,130.2916667,372378968.7,,,,,,,
33.375,130.2916667,135310851.2,,,,,,,
33.29166667,130.2916667,7863862114,,,,,,,
33.20833333,130.2916667,1327701518,,,,,,,
32.875,130.2916667,0,,,,,,,
32.79166667,130.2916667,139601712.9,,,,,,,
32.70833333,130.2916667,98506631.9,,,,,,,
32.45833333,130.2916667,11030173.29,,,,,,,
32.04166667,130.2916667,14329739.77,,,,,,,
31.95833333,130.2916667,12843497.9,,,,,,,
31.875,130.2916667,87789365.35,,,,,,,
31.79166667,130.2916667,138079460.5,,,,,,,
31.70833333,130.2916667,3469986410,,,,,,,
31.375,130.2916667,11826918.85,,,,,,,
31.29166667,130.2916667,2808360136,,,,,,,
33.54166667,130.375,53198893206,,,,,,,
33.45833333,130.375,230455928.4,,,,,,,
33.375,130.375,475864573.2,,,,,,,
33.29166667,130.375,1238459049,,,,,,,
33.20833333,130.375,21564219058,,,,,,,
33.125,130.375,921005605.6,,,,,,,
32.45833333,130.375,19259893.54,,,,,,,
32.125,130.375,71143175.37,,,,,,,
32.04166667,130.375,28659477.18,,,,,,,
31.95833333,130.375,6795928.844,,,,,,,
31.875,130.375,18717470.94,,,,,,,
31.79166667,130.375,37658034.69,,,,,,,
31.70833333,130.375,51768094.36,,,,,,,
31.625,130.375,69598599.87,,,,,,,
31.54166667,130.375,36690263.86,,,,,,,
31.45833333,130.375,23931103.26,,,,,,,
31.375,130.375,18806291.27,,,,,,,
31.29166667,130.375,9411483.898,,,,,,,
